site_id,date,target_output,actual_output,shortfall_pct,rolling_7day_downtime_pct,days_since_last_maintenance,rainfall_proxy
balaghat,2026-03-01,1211.0,1236.0,-0.02064409578860446,0.008035714285714285,0.0,0.1464
balaghat,2026-03-02,1211.0,1237.1,-0.02155243600330298,0.008035714285714285,1.0,0.1525
balaghat,2026-03-03,1211.0,1340.6,-0.10701899256812544,0.008035714285714285,2.0,0.1586
balaghat,2026-03-04,1211.0,1186.4,0.020313790255986713,0.01176190476190476,0.0,0.1648
balaghat,2026-03-05,1211.0,1180.0,0.02559867877786953,0.01176190476190476,1.0,0.1711
balaghat,2026-03-06,1211.0,1161.7,0.040710156895127955,0.01176190476190476,2.0,0.1775
balaghat,2026-03-07,1211.0,1248.3,-0.030800990916597815,0.01176190476190476,3.0,0.184
balaghat,2026-03-08,1173.5,1239.8,-0.05649765658287171,0.0037261904761904763,4.0,0.1906
balaghat,2026-03-09,1173.5,1166.8,0.005709416276097184,0.0037261904761904763,5.0,0.1973
balaghat,2026-03-10,1173.5,1124.2,0.04201107797187895,0.0037261904761904763,6.0,0.2041
balaghat,2026-03-11,1173.5,1125.2,0.041158926288879384,0.0,7.0,0.2109
balaghat,2026-03-12,1173.5,1211.7,-0.032552194290583765,0.0,8.0,0.2178
balaghat,2026-03-13,1173.5,1217.1,-0.03715381337878135,0.0,9.0,0.2249
balaghat,2026-03-14,1173.5,1205.4,-0.027183638687686487,0.0,10.0,0.2319
balaghat,2026-03-15,1200.5,1160.6,0.03323615160349862,0.008023809523809523,11.0,0.2391
balaghat,2026-03-16,1200.5,1214.5,-0.011661807580174927,0.008023809523809523,12.0,0.2464
balaghat,2026-03-17,1200.5,1207.6,-0.005914202415660066,0.008023809523809523,13.0,0.2537
balaghat,2026-03-18,1200.5,1213.7,-0.010995418575593541,0.008023809523809523,14.0,0.261
balaghat,2026-03-19,1200.5,1252.9,-0.04364847980008337,0.008023809523809523,15.0,0.2685
balaghat,2026-03-20,1200.5,1214.0,-0.011245314452311536,0.008023809523809523,16.0,0.276
balaghat,2026-03-21,1200.5,1241.3,-0.03398583923365261,0.008023809523809523,17.0,0.2836
balaghat,2026-03-22,1234.4,1238.6,-0.003402462734931803,0.0,18.0,0.2912
balaghat,2026-03-23,1234.4,1252.3,-0.014500972132209869,0.0,19.0,0.2989
balaghat,2026-03-24,1234.4,1273.4,-0.03159429682436811,0.0,20.0,0.3067
balaghat,2026-03-25,1234.4,1144.5,0.07282890473104349,0.0,21.0,0.3145
balaghat,2026-03-26,1234.4,1214.7,0.015959170447180853,0.0,22.0,0.3224
balaghat,2026-03-27,1234.4,1205.4,0.023493195074530134,0.0,23.0,0.3303
balaghat,2026-03-28,1234.4,1195.0,0.031918340894361706,0.0,24.0,0.3383
balaghat,2026-03-29,1164.2,1148.2,0.01374334306820134,0.0,25.0,0.3463
balaghat,2026-03-30,1164.2,1251.2,-0.07472942793334478,0.005880952380952382,0.0,0.3544
