site_id,planned_date,delay_days,delay_reason,weather_triggered
balaghat,2025-02-12,1,explosive_supply,False
balaghat,2025-03-31,2,safety_hold,False
balaghat,2025-04-19,4,explosive_supply,False
balaghat,2025-04-29,1,equipment_unavailable,False
balaghat,2025-07-17,3,weather_hold,True
balaghat,2025-08-07,1,explosive_supply,False
balaghat,2025-08-09,4,weather_hold,True
balaghat,2025-09-04,2,weather_hold,True
balaghat,2025-09-10,3,equipment_unavailable,False
balaghat,2025-09-17,1,equipment_unavailable,False
balaghat,2025-10-12,3,safety_hold,False
balaghat,2025-10-19,3,permit_pending,False
balaghat,2025-11-06,2,explosive_supply,False
balaghat,2025-11-23,4,explosive_supply,False
balaghat,2025-12-16,2,explosive_supply,False
balaghat,2026-01-06,3,equipment_unavailable,False
balaghat,2026-02-11,3,safety_hold,False
balaghat,2026-03-12,2,safety_hold,False
balaghat,2026-04-18,4,permit_pending,False
balaghat,2026-07-04,3,weather_hold,True
balaghat,2026-07-09,3,weather_hold,True
balaghat,2026-07-28,2,weather_hold,True
balaghat,2026-08-16,1,weather_hold,True
nagpur,2025-03-28,1,safety_hold,False
nagpur,2025-04-26,2,permit_pending,False
nagpur,2025-05-07,1,permit_pending,False
nagpur,2025-05-24,4,equipment_unavailable,False
nagpur,2025-05-30,2,explosive_supply,False
nagpur,2025-08-15,3,weather_hold,True
nagpur,2025-08-20,4,weather_hold,True
nagpur,2025-09-11,4,equipment_unavailable,False
nagpur,2025-10-03,4,weather_hold,True
nagpur,2025-10-08,4,weather_hold,True
nagpur,2025-11-27,4,permit_pending,False
nagpur,2025-12-16,3,explosive_supply,False
nagpur,2026-01-19,4,explosive_supply,False
nagpur,2026-01-30,2,permit_pending,False
nagpur,2026-02-09,4,permit_pending,False
nagpur,2026-03-07,4,safety_hold,False
nagpur,2026-04-01,2,safety_hold,False
nagpur,2026-04-12,4,permit_pending,False
nagpur,2026-05-30,1,equipment_unavailable,False
nagpur,2026-06-25,3,permit_pending,False
nagpur,2026-07-03,3,weather_hold,True
nagpur,2026-07-10,1,safety_hold,False
bhandara,2025-01-16,4,permit_pending,False
bhandara,2025-01-21,3,equipment_unavailable,False
bhandara,2025-05-29,3,equipment_unavailable,False
bhandara,2025-06-21,4,permit_pending,False
bhandara,2025-07-31,1,weather_hold,True
bhandara,2025-08-01,1,safety_hold,False
bhandara,2025-08-03,2,permit_pending,False
bhandara,2025-08-17,2,weather_hold,True
bhandara,2025-08-29,2,weather_hold,True
bhandara,2025-10-17,1,equipment_unavailable,False
bhandara,2026-02-11,4,equipment_unavailable,False
bhandara,2026-02-20,3,safety_hold,False
bhandara,2026-03-02,4,permit_pending,False
bhandara,2026-03-14,1,permit_pending,False
bhandara,2026-04-13,4,permit_pending,False
bhandara,2026-04-24,3,safety_hold,False
bhandara,2026-05-06,4,permit_pending,False
bhandara,2026-05-14,3,safety_hold,False
bhandara,2026-06-01,2,permit_pending,False
bhandara,2026-06-04,2,explosive_supply,False
bhandara,2026-06-27,3,explosive_supply,False
bhandara,2026-08-14,4,safety_hold,False
